merchant_id,ad_id,num_selected_slots,preferred_slot_1,bid_usd_1,preferred_slot_2,bid_usd_2,preferred_slot_3,bid_usd_3,preferred_slot_4,bid_usd_4,preferred_slot_5,bid_usd_5
M012,AD0001z98101d07142025,4,7,21,8,11,1,26,4,11,,
M017,AD0002z98115d07152025,4,5,41,4,36,2,36,3,6,,
M034,AD0003z98052d07182025,3,2,16,7,1,8,6,,,,
M030,AD0004z98004d07152025,5,3,41,1,51,8,46,2,41,6,16
M008,AD0005z98033d07172025,3,4,46,5,21,3,51,,,,
M036,AD0006z98007d07122025,3,2,6,4,51,8,1,,,,
M049,AD0007z98007d07172025,2,2,26,5,21,,,,,,
M038,AD0008z98101d07142025,3,3,6,8,1,7,31,,,,
M050,AD0009z98007d07152025,1,1,6,,,,,,,,
M016,AD0010z98007d07142025,1,2,51,,,,,,,,
M036,AD0011z98033d07142025,4,1,16,4,46,3,36,5,31,,
M044,AD0012z98115d07172025,3,5,26,4,1,3,31,,,,
M002,AD0013z98008d07172025,3,5,21,6,31,1,26,,,,
M038,AD0014z98101d07162025,3,4,6,5,11,1,46,,,,
M008,AD0015z98005d07122025,2,6,51,5,51,,,,,,
M020,AD0016z98109d07152025,5,3,16,8,31,4,51,6,16,5,11
M012,AD0017z98115d07172025,5,7,1,3,21,2,41,6,36,1,31
M017,AD0018z98102d07132025,5,2,51,7,41,8,21,5,26,1,51
M034,AD0019z98052d07142025,1,1,51,,,,,,,,
M016,AD0020z98004d07122025,2,3,31,6,26,,,,,,
M015,AD0021z98004d07142025,2,6,36,3,51,,,,,,
M030,AD0022z98109d07182025,5,5,36,2,1,7,26,4,41,6,31
M003,AD0023z98109d07122025,3,6,21,5,11,8,6,,,,
M002,AD0024z98101d07132025,5,5,41,8,41,1,51,4,51,7,11
M033,AD0025z98004d07122025,2,7,41,3,21,,,,,,
M020,AD0026z98109d07172025,5,4,26,2,11,3,31,6,16,5,51
M001,AD0027z98052d07152025,3,3,1,6,11,5,26,,,,
M035,AD0028z98102d07132025,1,2,41,,,,,,,,
M043,AD0029z98102d07182025,3,2,16,3,41,7,11,,,,
M039,AD0030z98005d07132025,1,6,36,,,,,,,,
M007,AD0031z98005d07122025,4,5,26,8,36,3,36,1,6,,
M036,AD0032z98007d07182025,3,8,6,5,6,3,6,,,,
M032,AD0033z98008d07142025,2,3,31,8,41,,,,,,
M036,AD0034z98033d07142025,4,7,36,3,16,2,26,6,26,,
M027,AD0035z98102d07132025,2,8,46,6,51,,,,,,
M048,AD0036z98102d07152025,3,6,26,7,21,1,36,,,,
M017,AD0037z98101d07162025,3,4,41,3,6,2,21,,,,
M019,AD0038z98052d07172025,4,7,51,1,31,5,26,3,6,,
M044,AD0039z98033d07172025,5,4,31,8,11,3,1,6,21,1,41
M045,AD0040z98052d07132025,3,7,36,8,26,4,1,,,,
M003,AD0041z98109d07172025,1,5,26,,,,,,,,
M002,AD0042z98005d07182025,4,5,6,8,41,6,16,3,41,,
M050,AD0043z98008d07122025,2,6,36,2,16,,,,,,
M039,AD0044z98005d07172025,3,2,41,5,51,4,46,,,,
M036,AD0045z98007d07122025,1,5,31,,,,,,,,
M003,AD0046z98109d07162025,5,4,26,8,26,6,46,3,36,5,21
M032,AD0047z98008d07182025,3,1,11,6,1,4,36,,,,
M024,AD0048z98115d07182025,4,4,31,3,21,7,16,5,46,,
M004,AD0049z98109d07182025,1,5,36,,,,,,,,
M040,AD0050z98005d07182025,5,6,11,4,6,3,41,8,11,5,21
M034,AD0051z98052d07182025,4,2,36,5,16,8,16,1,31,,
M033,AD0052z98101d07132025,5,4,41,7,51,3,26,8,26,2,51
M026,AD0053z98102d07132025,5,3,51,6,1,2,21,7,21,1,11
M009,AD0054z98007d07162025,3,3,11,4,1,2,11,,,,
M044,AD0055z98007d07152025,5,8,41,5,26,1,41,3,6,2,36
M044,AD0056z98033d07132025,3,3,1,6,36,5,1,,,,
M004,AD0057z98008d07142025,5,5,6,3,31,1,51,2,31,8,16
M011,AD0058z98102d07132025,4,4,31,3,31,2,36,5,26,,
M046,AD0059z98005d07142025,4,8,6,1,6,2,26,6,51,,
M040,AD0060z98004d07122025,2,4,31,6,16,,,,,,
M028,AD0061z98033d07162025,2,5,26,3,31,,,,,,
M001,AD0062z98052d07162025,4,5,11,7,6,3,11,4,41,,
M015,AD0063z98004d07152025,4,1,26,6,21,7,51,5,6,,
M030,AD0064z98109d07142025,5,2,6,7,46,3,1,6,6,1,41
M029,AD0065z98052d07152025,5,8,11,5,26,4,11,7,1,1,6
M026,AD0066z98005d07132025,5,5,26,1,11,7,21,6,36,8,16
M021,AD0067z98115d07172025,2,7,41,2,26,,,,,,
M027,AD0068z98101d07152025,2,3,16,4,6,,,,,,
M038,AD0069z98102d07162025,4,8,16,5,31,1,1,4,41,,
M030,AD0070z98102d07142025,2,6,31,3,46,,,,,,
M002,AD0071z98008d07162025,5,3,16,5,46,1,6,7,41,8,11
M030,AD0072z98109d07182025,1,2,31,,,,,,,,
M026,AD0073z98005d07132025,2,1,11,3,41,,,,,,
M018,AD0074z98102d07122025,3,3,51,1,41,2,6,,,,
M029,AD0075z98052d07142025,4,1,1,7,21,2,6,4,11,,
M042,AD0076z98033d07142025,2,1,46,3,51,,,,,,
M003,AD0077z98115d07142025,1,3,41,,,,,,,,
M041,AD0078z98102d07162025,5,4,16,8,41,1,31,5,36,3,6
M016,AD0079z98007d07122025,4,7,51,5,46,1,11,4,11,,
M016,AD0080z98007d07162025,2,6,21,4,51,,,,,,
M042,AD0081z98033d07152025,1,1,26,,,,,,,,
